elapsed_time,power,smooth_power
0 days 00:04:00,157.0,225.7
0 days 00:04:01,203.0,228.16666666666666
0 days 00:04:02,144.0,229.86666666666667
0 days 00:04:03,119.0,230.33333333333334
0 days 00:04:04,136.0,232.73333333333332
0 days 00:04:05,184.0,234.23333333333332
0 days 00:04:06,231.0,237.93333333333334
0 days 00:04:07,261.0,239.33333333333334
0 days 00:04:08,393.0,241.23333333333332
0 days 00:04:09,334.0,240.53333333333333
0 days 00:04:10,288.0,240.2
0 days 00:04:11,307.0,242.36666666666667
0 days 00:04:12,322.0,245.43333333333334
0 days 00:04:13,346.0,247.56666666666666
0 days 00:04:14,324.0,251.3
0 days 00:04:15,296.0,255.2
0 days 00:04:16,220.0,258.3666666666667
0 days 00:04:17,228.0,260.9
0 days 00:04:18,257.0,263.3333333333333
0 days 00:04:19,224.0,266.73333333333335
0 days 00:04:20,276.0,269.6333333333333
0 days 00:04:21,310.0,269.96666666666664
0 days 00:04:22,293.0,268.73333333333335
0 days 00:04:23,257.0,265.1
0 days 00:04:24,238.0,257.06666666666666
0 days 00:04:25,262.0,250.43333333333334
0 days 00:04:26,259.0,245.73333333333332
0 days 00:04:27,251.0,241.33333333333334
0 days 00:04:28,278.0,237.4
0 days 00:04:29,258.0,231.06666666666666
0 days 00:04:30,252.0,223.63333333333333
0 days 00:04:31,279.0,217.16666666666666
0 days 00:04:32,217.0,213.03333333333333
0 days 00:04:33,221.0,208.2
0 days 00:04:34,223.0,202.4
0 days 00:04:35,194.0,196.76666666666668
0 days 00:04:36,194.0,189.16666666666666
0 days 00:04:37,152.0,180.46666666666667
0 days 00:04:38,152.0,175.76666666666668
0 days 00:04:39,135.0,172.5
0 days 00:04:40,147.0,168.76666666666668
0 days 00:04:41,175.0,162.93333333333334
0 days 00:04:42,204.0,154.63333333333333
0 days 00:04:43,156.0,146.43333333333334
0 days 00:04:44,101.0,137.23333333333332
0 days 00:04:45,102.0,134.6
0 days 00:04:46,96.0,133.6
0 days 00:04:47,83.0,131.5
0 days 00:04:48,83.0,129.9
0 days 00:04:49,55.0,123.36666666666666
0 days 00:04:50,48.0,116.76666666666667
0 days 00:04:51,49.0,111.13333333333334
0 days 00:04:52,152.0,104.66666666666667
0 days 00:04:53,159.0,99.6
0 days 00:04:54,126.0,94.53333333333333
0 days 00:04:55,87.0,90.03333333333333
